LSOA11CD,GridE100_mean,GridN100_mean,Count,Need_Mid,Need_High
E01000001,"532,171.68","181,699.84",19,0,0
E01000002,"532,410.91","181,741.73",22,0,0
E01000003,"532,201.71","182,062.61",28,0,0
E01000005,"533,594.23","181,150.85",13,0,0
E01000006,"544,906.86","184,298.50",14,0,0
E01000007,"544,140.13","184,439.87",23,1,1
E01000008,"543,706.41","184,478.82",17,1,1
E01000009,"544,612.38","184,473.48",21,0,0
E01000010,"544,264.71","184,080.08",51,1,1
E01000011,"544,358.67","184,725.17",12,1,0
E01000012,"543,953.47","184,699.89",19,1,1
E01000013,"549,169.11","184,933.44",9,1,1
E01000014,"549,058.00","185,085.00",1,1,0
E01000015,"549,536.39","184,971.87",31,1,1
E01000016,"549,228.22","185,583.50",18,1,0
E01000017,"549,079.00","185,703.25",4,1,1
E01000018,"549,306.15","185,241.60",20,1,0
E01000023,"546,252.75","185,593.25",4,1,1
E01000033,"550,039.21","186,226.71",14,1,1
E01000034,"550,344.81","186,173.10",21,0,0
E01000035,"550,155.46","185,567.92",24,1,0
E01000036,"550,032.06","185,173.71",17,0,0
E01000040,"545,566.24","184,041.20",25,1,1
E01000042,"546,137.85","184,170.03",33,1,1
E01000043,"545,667.37","183,781.32",19,1,1
E01000044,"545,125.75","183,952.25",20,1,0
E01000045,"546,402.00","184,091.00",1,1,0
E01000048,"544,642.33","183,485.21",24,1,1
E01000049,"544,779.91","183,381.05",22,1,1
E01000050,"544,762.08","183,756.96",24,1,0
E01000051,"544,556.50","183,743.17",24,1,1
E01000052,"545,280.40","183,569.30",30,1,0
E01000060,"549,280.15","186,468.55",33,1,1
E01000061,"549,337.58","186,814.67",12,1,1
E01000062,"549,334.71","186,095.18",28,1,1
E01000063,"549,029.50","186,322.25",4,1,0
E01000064,"549,669.26","186,030.26",27,1,1
E01000065,"549,004.25","186,005.75",4,1,0
E01000066,"546,155.54","185,214.33",24,1,0
E01000067,"545,781.21","185,245.26",19,1,0
E01000068,"545,047.75","184,547.45",20,0,0
E01000069,"545,712.50","184,718.14",22,0,0
E01000070,"545,280.20","184,879.40",30,0,0
E01000071,"545,699.71","184,442.23",31,0,0
E01000084,"549,099.00","184,302.00",2,1,0
E01000085,"549,219.61","184,332.50",18,1,1
E01000086,"549,164.50","184,027.75",4,1,0
E01000087,"549,341.84","183,677.84",19,1,0
E01000088,"549,599.48","183,797.67",21,1,0
E01000089,"549,937.14","183,518.86",14,1,1
E01000090,"549,840.87","183,331.73",15,1,0
E01000091,"546,432.14","183,102.14",22,1,1
E01000092,"545,782.58","182,860.61",38,1,0
E01000093,"545,901.25","183,185.10",20,1,1
E01000094,"546,778.19","182,840.33",21,1,0
